Region,County,First Dose,Series Complete,Report as of
Capital Region,Albany,74,0,12/14/2020
Western New York,Allegany,0,0,12/14/2020
New York City,Bronx,2,0,12/14/2020
Southern Tier,Broome,0,0,12/14/2020
Western New York,Cattaraugus,0,0,12/14/2020
Central New York,Cayuga,0,0,12/14/2020
Western New York,Chautauqua,0,0,12/14/2020
Southern Tier,Chemung,0,0,12/14/2020
Southern Tier,Chenango,0,0,12/14/2020
North Country,Clinton,0,0,12/14/2020
Capital Region,Columbia,1,0,12/14/2020
Central New York,Cortland,0,0,12/14/2020
Southern Tier,Delaware,0,0,12/14/2020
Mid-Hudson,Dutchess,0,0,12/14/2020
Western New York,Erie,0,0,12/14/2020
