Region,County,First Dose,Series Complete,Report as of
Mohawk Valley,Montgomery,4480,1281,02/01/2021
Long Island,Nassau,139005,32955,02/01/2021
New York City,New York,156979,36457,02/01/2021
Western New York,Niagara,18524,4298,02/01/2021
Mohawk Valley,Oneida,24067,6679,02/01/2021
Central New York,Onondaga,52922,11689,02/01/2021
Finger Lakes,Ontario,10522,3035,02/01/2021
Mid-Hudson,Orange,19687,5725,02/01/2021
Finger Lakes,Orleans,2393,659,02/01/2021
Central New York,Oswego,10531,2032,02/01/2021
Mohawk Valley,Otsego,5963,2264,02/01/2021
Mid-Hudson,Putnam,7550,1709,02/01/2021
New York City,Queens,140308,30771,02/01/2021
Capital Region,Rensselaer,14571,4233,02/01/2021
New York City,Richmond,41553,6933,02/01/2021
Mid-Hudson,Rockland,26823,5019,02/01/2021
Capital Region,Saratoga,22070,5592,02/01/2021
Capital Region,Schenectady,13866,4486,02/01/2021
Mohawk Valley,Schoharie,1929,457,02/01/2021
Southern Tier,Schuyler,1644,444,02/01/2021
Finger Lakes,Seneca,2747,421,02/01/2021
North Country,St. Lawrence,14627,3104,02/01/2021
Southern Tier,Steuben,6196,1272,02/01/2021
Long Island,Suffolk,113096,31882,02/01/2021
Mid-Hudson,Sullivan,5062,1460,02/01/2021
Southern Tier,Tioga,2869,708,02/01/2021
Southern Tier,Tompkins,8418,1735,02/01/2021
Mid-Hudson,Ulster,13755,2934,02/01/2021
Capital Region,Warren,6333,1686,02/01/2021
Capital Region,Washington,4251,1034,02/01/2021
Finger Lakes,Wayne,7113,1896,02/01/2021
Mid-Hudson,Westchester,90282,23091,02/01/2021
Finger Lakes,Wyoming,3176,843,02/01/2021
Finger Lakes,Yates,2004,420,02/01/2021
Capital Region,Albany,29332,10343,02/02/2021
Western New York,Allegany,2432,582,02/02/2021
New York City,Bronx,68519,17296,02/02/2021
Southern Tier,Broome,18924,4751,02/02/2021
Western New York,Cattaraugus,4818,1132,02/02/2021
Central New York,Cayuga,7463,1635,02/02/2021
Western New York,Chautauqua,9502,1935,02/02/2021
Southern Tier,Chemung,7506,1828,02/02/2021
Southern Tier,Chenango,3429,926,02/02/2021
North Country,Clinton,10641,2506,02/02/2021
Capital Region,Columbia,4904,1001,02/02/2021
Central New York,Cortland,3635,765,02/02/2021
Southern Tier,Delaware,2507,566,02/02/2021
Mid-Hudson,Dutchess,19307,5114,02/02/2021
Western New York,Erie,86807,24668,02/02/2021
North Country,Essex,4449,1041,02/02/2021
North Country,Franklin,5826,1880,02/02/2021
Mohawk Valley,Fulton,4061,977,02/02/2021
Finger Lakes,Genesee,4979,1051,02/02/2021
Capital Region,Greene,3500,616,02/02/2021
North Country,Hamilton,1235,81,02/02/2021
Mohawk Valley,Herkimer,6223,1445,02/02/2021
North Country,Jefferson,10026,3051,02/02/2021
New York City,Kings,123431,26396,02/02/2021
North Country,Lewis,2575,648,02/02/2021
Finger Lakes,Livingston,6212,1696,02/02/2021
Central New York,Madison,6676,1910,02/02/2021
Finger Lakes,Monroe,68050,23013,02/02/2021
Mohawk Valley,Montgomery,4495,1319,02/02/2021
Long Island,Nassau,140082,34442,02/02/2021
New York City,New York,157751,38372,02/02/2021
Western New York,Niagara,18641,4767,02/02/2021
Mohawk Valley,Oneida,24209,7399,02/02/2021
Central New York,Onondaga,53672,11997,02/02/2021
Finger Lakes,Ontario,10582,3202,02/02/2021
Mid-Hudson,Orange,19790,5851,02/02/2021
Finger Lakes,Orleans,2411,686,02/02/2021
Central New York,Oswego,10634,2209,02/02/2021
Mohawk Valley,Otsego,6105,2377,02/02/2021
Mid-Hudson,Putnam,7571,1793,02/02/2021
New York City,Queens,141367,31983,02/02/2021
Capital Region,Rensselaer,14637,4391,02/02/2021
New York City,Richmond,41833,7334,02/02/2021
Mid-Hudson,Rockland,26882,5291,02/02/2021
Capital Region,Saratoga,22175,6105,02/02/2021
Capital Region,Schenectady,13908,4678,02/02/2021
Mohawk Valley,Schoharie,1934,462,02/02/2021
Southern Tier,Schuyler,1657,456,02/02/2021
Finger Lakes,Seneca,2792,464,02/02/2021
North Country,St. Lawrence,14737,3437,02/02/2021
Southern Tier,Steuben,6341,1482,02/02/2021
Long Island,Suffolk,115770,34365,02/02/2021
Mid-Hudson,Sullivan,5072,1463,02/02/2021
Southern Tier,Tioga,2922,767,02/02/2021
Southern Tier,Tompkins,8513,1743,02/02/2021
Mid-Hudson,Ulster,13813,3183,02/02/2021
Capital Region,Warren,6359,1865,02/02/2021
Capital Region,Washington,4262,1146,02/02/2021
Finger Lakes,Wayne,7230,1990,02/02/2021
Mid-Hudson,Westchester,90710,24301,02/02/2021
Finger Lakes,Wyoming,3189,1072,02/02/2021
Finger Lakes,Yates,2006,442,02/02/2021
Capital Region,Albany,30489,10870,02/03/2021
Western New York,Allegany,2450,642,02/03/2021
New York City,Bronx,69886,18963,02/03/2021
Southern Tier,Broome,20257,5381,02/03/2021
Western New York,Cattaraugus,5044,1301,02/03/2021
Central New York,Cayuga,7628,1933,02/03/2021
Western New York,Chautauqua,10010,2200,02/03/2021
Southern Tier,Chemung,7536,1941,02/03/2021
Southern Tier,Chenango,3597,1005,02/03/2021
North Country,Clinton,11217,2822,02/03/2021
Capital Region,Columbia,5010,1095,02/03/2021
Central New York,Cortland,3807,955,02/03/2021
Southern Tier,Delaware,2564,752,02/03/2021
Mid-Hudson,Dutchess,19572,5869,02/03/2021
Western New York,Erie,88840,27638,02/03/2021
North Country,Essex,4648,1172,02/03/2021
North Country,Franklin,6106,1917,02/03/2021
Mohawk Valley,Fulton,4109,1260,02/03/2021
Finger Lakes,Genesee,5040,1242,02/03/2021
Capital Region,Greene,3592,799,02/03/2021
North Country,Hamilton,1238,122,02/03/2021
Mohawk Valley,Herkimer,6380,1591,02/03/2021
North Country,Jefferson,10416,3201,02/03/2021
New York City,Kings,125349,28423,02/03/2021
North Country,Lewis,2604,655,02/03/2021
Finger Lakes,Livingston,6383,1939,02/03/2021
Central New York,Madison,6883,2247,02/03/2021
Finger Lakes,Monroe,70407,25509,02/03/2021
Mohawk Valley,Montgomery,4695,1558,02/03/2021
Long Island,Nassau,143677,38647,02/03/2021
New York City,New York,160958,42242,02/03/2021
Western New York,Niagara,19158,5559,02/03/2021
Mohawk Valley,Oneida,25228,8095,02/03/2021
Central New York,Onondaga,55416,13479,02/03/2021
Finger Lakes,Ontario,10850,3526,02/03/2021
Mid-Hudson,Orange,20032,6531,02/03/2021
Finger Lakes,Orleans,2457,792,02/03/2021
Central New York,Oswego,10872,2406,02/03/2021
Mohawk Valley,Otsego,6301,2459,02/03/2021
Mid-Hudson,Putnam,7772,2092,02/03/2021
New York City,Queens,143896,34669,02/03/2021
Capital Region,Rensselaer,15446,4616,02/03/2021
New York City,Richmond,42293,8244,02/03/2021
Mid-Hudson,Rockland,27276,6283,02/03/2021
Capital Region,Saratoga,22913,6894,02/03/2021
Capital Region,Schenectady,14385,5012,02/03/2021
Mohawk Valley,Schoharie,1971,533,02/03/2021
Southern Tier,Schuyler,1667,472,02/03/2021
Finger Lakes,Seneca,2841,522,02/03/2021
North Country,St. Lawrence,15380,3980,02/03/2021
Southern Tier,Steuben,6415,1659,02/03/2021
Long Island,Suffolk,118755,37714,02/03/2021
Mid-Hudson,Sullivan,5282,1707,02/03/2021
Southern Tier,Tioga,3060,876,02/03/2021
Southern Tier,Tompkins,8700,2230,02/03/2021
Mid-Hudson,Ulster,14136,3604,02/03/2021
Capital Region,Warren,6528,2055,02/03/2021
Capital Region,Washington,4343,1258,02/03/2021
Finger Lakes,Wayne,7347,2218,02/03/2021
Mid-Hudson,Westchester,92195,27515,02/03/2021
Finger Lakes,Wyoming,3226,1134,02/03/2021
Finger Lakes,Yates,2031,487,02/03/2021
Capital Region,Albany,31418,11620,02/04/2021
Western New York,Allegany,2478,818,02/04/2021
New York City,Bronx,72808,20934,02/04/2021
Southern Tier,Broome,21095,6253,02/04/2021
Western New York,Cattaraugus,5249,1485,02/04/2021
Central New York,Cayuga,7905,2060,02/04/2021
Western New York,Chautauqua,10075,2534,02/04/2021
Southern Tier,Chemung,7695,2300,02/04/2021
Southern Tier,Chenango,3628,1104,02/04/2021
North Country,Clinton,11803,3195,02/04/2021
Capital Region,Columbia,5370,1268,02/04/2021
Central New York,Cortland,3897,1207,02/04/2021
Southern Tier,Delaware,2672,823,02/04/2021
Mid-Hudson,Dutchess,20514,6824,02/04/2021
Western New York,Erie,91543,29442,02/04/2021
North Country,Essex,4980,1295,02/04/2021
North Country,Franklin,6294,2079,02/04/2021
Mohawk Valley,Fulton,4353,1494,02/04/2021
Finger Lakes,Genesee,5135,1388,02/04/2021
Capital Region,Greene,3745,861,02/04/2021
North Country,Hamilton,1277,144,02/04/2021
Mohawk Valley,Herkimer,6526,1702,02/04/2021
North Country,Jefferson,10897,3621,02/04/2021
New York City,Kings,132423,32541,02/04/2021
North Country,Lewis,2672,857,02/04/2021
Finger Lakes,Livingston,6662,2179,02/04/2021
Central New York,Madison,7110,2421,02/04/2021
Finger Lakes,Monroe,72118,27124,02/04/2021
Mohawk Valley,Montgomery,4797,1771,02/04/2021
Long Island,Nassau,148703,44330,02/04/2021
New York City,New York,167056,46746,02/04/2021
