Rank,City,Population
982,Horicon,"1,471"
983,Greene village,"1,463"
984,Millbrook,"1,455"
985,Black Brook,"1,453"
986,Plandome and Cochecton,"1,448"
987,Huntington Bay and St. Armand,"1,446"
988,Litchfield,"1,444"
989,Mayville and Harpersfield,"1,442"
990,Ancram,"1,440"
991,Henderson,"1,438"
992,Deposit,"1,427"
993,Burke,"1,421"
994,Pittsford village,"1,419"
995,Jasper,"1,418"
996,Orange,"1,408"
997,Tusten,"1,405"
998,Shortsville,"1,400"
999,Kiantone,"1,397"
"1,000",Tuscarora,"1,390"
"1,001",Howard,"1,389"
"1,002",Junius,"1,388"
"1,003",Deposit village,"1,387"
"1,004",Broadalbin village,"1,384"
"1,005",Middlesex and Philmont,"1,377"
"1,006",Petersburgh,"1,372"
"1,007",Schuylerville,"1,370"
"1,008",Indian Lake,"1,363"
"1,009",Sherburne village,"1,360"
"1,010",Preble,"1,357"
"1,011",Charleston,"1,355"
"1,012",Sackets Harbor,"1,351"
"1,013",Springfield,"1,346"
"1,014",Middlebury,"1,339"
"1,015",Williamstown,"1,335"
"1,016",Edinburg and Jefferson,"1,333"
"1,017",Oxford village,"1,330"
"1,018",Bellmont,"1,327"
"1,019",Lebanon,"1,326"
"1,020",Westport,"1,320"
"1,021",Roslyn Estates,"1,318"
"1,022",Martinsburg,"1,316"
"1,023",Ellicottville and Oriskany,"1,315"
"1,024",Pittsfield,"1,312"
"1,025",Fine,"1,304"
"1,026",Torrey,"1,299"
"1,027",Lewis,"1,293"
"1,028",Tompkins and Hewlett Harbor,"1,290"
"1,029",Brocton,"1,286"
"1,030",Florence,"1,284"
"1,031",Orangeville,"1,283"
"1,032",Willing,"1,281"
"1,033",Bloomfield,"1,277"
"1,034",DeRuyter,"1,276"
"1,035",Angelica,"1,272"
"1,036",Caroga,"1,264"
"1,037",Pulteney and Hammond,"1,258"
"1,038",Smithville,"1,255"
"1,039",Bombay,"1,254"
"1,040",Thurston and Covington,"1,253"
"1,041",Bainbridge village,"1,251"
"1,042",Wilson village and North Collins village,"1,247"
"1,043",Amboy,"1,245"
"1,044",Leon,"1,244"
"1,045",Dunkirk town,"1,240"
"1,046",Masonville,"1,239"
"1,047",Smyrna,"1,237"
"1,048",Venice,"1,236"
"1,049",Black River,"1,232"
"1,050",Taghkanic,"1,231"
"1,051",Cherry Valley,"1,229"
"1,052",Kensington,"1,226"
"1,053",Moravia village,"1,224"
"1,054",Camillus village,"1,222"
"1,055",Bergen village,"1,208"
"1,056",Carrollton,"1,207"
"1,057",Elizabethtown,"1,203"
"1,058",Fulton town,"1,199"
"1,059",Rodman,"1,197"
"1,060",Jordan,"1,192"
"1,061",Greig,"1,179"
"1,062",Montezuma and Vernon village,"1,177"
"1,063",Brighton,"1,174"
"1,064",Bellerose,"1,173"
"1,065",Napoli,"1,171"
"1,066","Lyonsdale, Kinderhook village, and Champlain village","1,170"
"1,067",Nunda village,"1,169"
"1,068",North Haven,"1,162"
"1,069",Fremont town,"1,161"
"1,070",West Sparta,"1,156"
"1,071",Franklin town,"1,150"
"1,072",Keene,"1,144"
"1,073",Wilmington,"1,139"
"1,074",Niles and Hamden,"1,137"
"1,075",Wheeler,"1,136"
"1,076",Middleburgh village,"1,131"
"1,077",Smithfield,"1,127"
"1,078",Wurtsboro,"1,124"
"1,079",Hagaman,"1,117"
"1,080",Andes,"1,114"
"1,081",Gilboa,"1,111"
"1,082",South Corning and Summerhill,"1,108"
"1,083",Hopkinton and Eagle,"1,105"
"1,084",Nassau village,"1,103"
"1,085",Port Byron,"1,101"
"1,086",Italy,"1,099"
"1,087",Philadelphia village,"1,098"
"1,088",Thurman,"1,095"
"1,089",Rathbone,"1,093"
"1,090",Independence,"1,085"
"1,091",New Lisbon,"1,084"
"1,092",Steuben,"1,081"
"1,093",Rushford,"1,079"
"1,094",Orwell and Scott,"1,077"
"1,095",Union Springs,"1,075"
"1,096",Hermon,"1,074"
"1,097",Farmersville,"1,073"
"1,098",Summit,"1,072"
"1,099",Celoron,"1,069"
"1,100",Roslyn Harbor,"1,067"
"1,101",Unadilla village,"1,065"
"1,102",Solon,"1,063"
"1,103",Little Valley village,"1,058"
"1,104",Villenova,"1,057"
"1,105",Mill Neck,"1,054"
"1,106",Richfield Springs,"1,050"
"1,107",Wirt,"1,049"
"1,108",Burlington,"1,045"
"1,109",Delevan and Richford,"1,043"
"1,110",Stamford village,"1,040"
"1,111",Cherry Creek,"1,037"
"1,112",Burns,"1,036"
"1,113",Bloomingburg,"1,032"
"1,114",Warren,"1,029"
"1,115",De Peyster,"1,023"
"1,116",Troupsburg,"1,017"
"1,117",Edwards,"1,015"
"1,118",Tyre,"1,013"
"1,119",Tivoli,"1,012"
"1,120",Bolivar village,"1,010"
"1,121",Wayne and Plandome Heights,"1,009"
"1,122",Arkwright and Lake George village,"1,008"
"1,123",Mina and French Creek,"1,007"
"1,124",Dexter,"1,004"
"1,125",Truxton,997
"1,126",Northville,993
"1,127",Baxter Estates,991
"1,128",Saddle Rock,989
"1,129",Russell Gardens,978
"1,130",Clarksville,976
"1,131",Pike,975
"1,132",East Otto,974
"1,133",McGraw,972
"1,134",Castile village,970
"1,135",Otisville,969
"1,136",Dickinson town,965
"1,137",Waverly,963
"1,138",Ohio,962
"1,139",Cattaraugus and Whitney Point,960
"1,140",Danube,953
"1,141",Waddington village,937
"1,142",Kingston town,933
"1,143",Naples village,931
"1,144",Brownville village and Hillburn,930
"1,145",Centerville,929
"1,146",Newark Valley village,928
"1,147",Alexandria Bay and Lorraine,924
"1,148",Plainfield,922
"1,149",Elbridge village,921
"1,150",Schoharie village,916
"1,151",Macomb,912
"1,152",Cuyler and Hancock village,908
"1,153",Windsor village,907
"1,154",Tully village,904
"1,155",Poquott and Millerton,903
"1,156",Cincinnatus,902
"1,157",New Berlin village,901
"1,158",Cameron,899
"1,159",Columbus,898
"1,160",Lake Pleasant and Woodsburgh,897
"1,161",Preston,895
"1,162",Willet and Fremont,894
"1,163",Old Field,893
"1,164",Marathon village and Portville village,892
"1,165",Andover village and Sylvan Beach,890
"1,166",Jewett,879
"1,167",Harford,876
"1,168",Otego village,875
"1,169",Broome,863
"1,170",Otselic,859
"1,171",Richmondville village,858
"1,172",Hampton,857
"1,173",Belmont,856
"1,174",Matinecock,847
"1,175",Exeter,845
"1,176",Lewis town,844
"1,177",Mansfield,843
"1,178",Sempronius,840
"1,179",Round Lake,828
"1,180",Sodus Point,822
"1,181",Day,819
"1,182",Baldwin,812
"1,183",Avoca village,809
"1,184",Forestburgh and Belle Terre,808
"1,185",Bradford,806
"1,186",Westford,804
"1,187",Rossie,799
"1,188",McDonough,797
"1,189",Palatine Bridge,796
"1,190",Lapeer,795
"1,191",Afton village,794
"1,192",Plandome Manor,793
"1,193",New Hudson,792
"1,194",Long Lake,791
"1,195",Pitcairn,790
"1,196",Candor village,786
"1,197",Alma,781
"1,198",Mayfield village,780
"1,199",Otto and Greenwood,777
"1,200",Prattsville and Earlville,774
"1,201",Minerva,773
"1,202",Lyndonville,771
"1,203",Sagaponack and Lexington,770
"1,204",Turin,768
"1,205",Freetown,767
"1,206",Portage,763
"1,207",Fair Haven,760
"1,208",Stony Creek,758
"1,209",Wethersfield,755
"1,210",Theresa village,752
"1,211",Woodridge,747
"1,212",Arkport,745
"1,213",Fultonville,742
"1,214",Norway,740
"1,215",Ischua,736
"1,216",Chateaugay village,735
"1,217",West Winfield,733
"1,218",Cleveland and North Hornell,732
"1,219",Ossian,724
"1,220",Angelica village,723
"1,221",Heuvelton,722
"1,222",Spencer village,719
"1,223",Stark,714
"1,224",Cohocton village and Humphrey,703
"1,225",Cape Vincent village,699
"1,226",Roseboom,690
"1,227",Silver Springs and Corfu,689
"1,228",Conesville,687
"1,229",Lyndon,685
"1,230",Wells,683
"1,231",Ashland town,682
"1,232",Ava,680
"1,233",Evans Mills,678
"1,234",Clifton,675
"1,235",Savona,672
"1,236",Fonda,668
"1,237",Pitcher,667
"1,238",Victory village,666
"1,239","Bovina, Oriskany Falls, and Coldspring",658
"1,240",Lacona,657
"1,241",Clinton,652
"1,242",Rushville,651
"1,243",Sherman village,649
"1,244",Georgetown,648
"1,245",Sandy Creek village,646
"1,246",Tuxedo Park,645
"1,247",Croghan village,639
"1,248",Hague,633
"1,249",Copenhagen,631
"1,250",Brandon,628
"1,251",Nelsonville,624
"1,252",Essex,621
"1,253",Chaumont,615
"1,254",Aurora village,607
"1,255",Van Etten village,601
"1,256",Interlaken,595
"1,257",Asharoken and Unionville,592
"1,258",Oneida Castle,586
"1,259",Hammondsport,583
"1,260",Sinclairville,579
"1,261",Barker village,575
"1,262",Cassadaga and Wampsville,573
"1,263",Lyons Falls,570
"1,264",Hewlett Neck,569
"1,265",Tannersville,568
"1,266",Putnam,567
"1,267",Shoreham,561
"1,268",East Nassau,559
"1,269",Hartsville and Elba village,558
"1,270",Nelliston,555
"1,271",Port Leyden,554
"1,272",Bleecker,545
"1,273",Newport village,543
"1,274",South Dayton,541
"1,275",Stratford,538
"1,276",Dresden,537
"1,277",Hannibal village,535
"1,278",Ovid village,534
"1,279",Schaghticoke village,527
"1,280",Granger,519
"1,281",Alexander village and Harrisville,518
"1,282",Cato village and Odessa,517
"1,283",Pharsalia,516
"1,284",Margaretville,514
"1,285",Valley Falls,510
"1,286",Cayuta,508
"1,287",Antwerp village,506
"1,288",Boylston and Freeville,498
"1,289",Red Creek,495
"1,290",Allen and Hewlett Bay Park,494
"1,291",Denning,493
"1,292",Wellsburg,490
"1,293",Grove,489
"1,294",Morris village,486
"1,295",Sharon Springs,483
"1,296",Harrisburg,480
"1,297",Redfield,476
"1,298",Panama,475
"1,299",Cayuga,472
"1,300",Salamanca town,470
"1,301",Cherry Valley village,467
"1,302",Poland village,464
"1,303",Canaseraga and Fort Ann village,460
"1,304",Nichols village,457
"1,305",Munnsville,454
"1,306",Taylor and Glen Park,452
"1,307",Parish village,447
"1,308",Brushton,443
"1,309",Leicester village,440
"1,310",Remsen village,431
"1,311",Hunter village,429
"1,312",Riverside,423
"1,313",Newcomb,418
"1,314",Holland Patent,416
"1,315",Almond village,415
"1,316",Hope,413
"1,317",Cherry Creek village,409
"1,318",DeRuyter village,408
"1,319",Centre Island and Middleville,407
"1,320",Speculator,406
"1,321",Genesee Falls,402
"1,322",Richburg and Fort Johnson,401
"1,323",Morristown village,398
"1,324",Farnham,381
"1,325",Wyoming,377
"1,326",Decatur,374
"1,327",Jeffersonville,368
"1,328",Milford village,367
"1,329",Rensselaer Falls and Lincklaen,361
"1,330",Inlet,355
"1,331",Hobart,351
"1,332",Lisle village,348
"1,333",Esperance village,346
"1,334",West Union,343
"1,335",Clayville,339
"1,336",Delanson,335
"1,337",Ward and Castorland,334
"1,338",Santa Clara,332
"1,339",Burdett,331
"1,340",Pinckney,313
"1,341",Madison village,311
"1,342",Fabius village,309
"1,343","Blenheim, Gilbertsville, and German",308
"1,344",Bemus Point,306
"1,345",Millport,301
"1,346",Mannsville,297
"1,347","Constableville, Dresden village, and Cove Neck",293
"1,348",Arietta,292
"1,349",Argyle village,289
"1,350",Meridian,287
"1,351",Piercefield,282
"1,352",West Almond,274
"1,353",Hammond village,273
"1,354",Franklin village,258
"1,355",Ellicottville village,256
"1,356",Lodi village,254
"1,357","North Hudson, Cold Brook, and South Valley",250
"1,358",Halcott,249
"1,359",Grand View-on-Hudson,246
"1,360",Deferiet,245
"1,361",Osceola,243
"1,362",Richville,234
"1,363",Hardenburgh and Benson,221
"1,364",Gainesville village,211
"1,365",Fleischmanns,210
"1,366",Worth,198
"1,367",Smyrna village and Turin village,197
"1,368",Birdsall,190
"1,369",Ellisburg village,186
"1,370",Laurens village,185
"1,371",Duane,180
"1,372",Galway village,165
"1,373",Burke village,160
"1,374",Ocean Beach,153
"1,375",Ames,138
"1,376",West Hampton Dunes,126
"1,377",Saltaire,113
"1,378",Clare,100
"1,379",Montague,97
"1,380",Morehouse,92
"1,381",Dering Harbor,50
"1,382",Red House,27
