Rank,City,Population
228,Watervliet,"10,375"
229,Oneida,"10,329"
230,New Hyde Park,"10,257"
231,Geneseo,"10,234"
232,Airmont,"10,166"
233,Liberty and East Rockaway,"10,159"
234,Massena village,"10,151"
235,Kirkland,"10,075"
236,Ogdensburg,"10,064"
237,Rye Brook,"10,047"
238,Lancaster village,"10,027"
239,Sleepy Hollow,"9,986"
240,Red Hook,"9,953"
241,Philipstown,"9,831"
242,Pleasant Valley,"9,799"
243,Alden,"9,706"
244,Hamburg village,"9,696"
245,Southport,"9,691"
246,New Square,"9,679"
247,Fredonia,"9,585"
248,Herkimer,"9,566"
249,Esopus,"9,548"
250,Amityville,"9,500"
251,Manchester,"9,404"
252,Monroe village,"9,343"
253,Hastings,"9,342"
254,Newfane,"9,304"
255,Macedon,"9,270"
256,Walworth,"9,253"
257,Rensselaer,"9,210"
258,Crawford,"9,130"
259,New Scotland,"9,096"
260,Mendon,"9,095"
261,Seneca Falls,"9,027"
262,Stillwater,"9,022"
263,Newark,"9,017"
264,Marcy,"8,777"
265,Port Jervis,"8,775"
266,Ellicott and Lenox,"8,768"
267,Hamlin,"8,725"
268,Marlborough,"8,712"
269,Newstead,"8,689"
270,Barton,"8,609"
271,Hastings-on-Hudson,"8,590"
272,Malverne,"8,560"
273,Farmingdale,"8,466"
274,Dover,"8,415"
275,Cortlandville,"8,409"
276,Coxsackie,"8,382"
277,Sand Lake,"8,348"
278,Kinderhook,"8,330"
279,Croton-on-Hudson,"8,327"
280,Vernon,"8,318"
281,Concord,"8,316"
282,Potsdam village,"8,312"
283,Hornell,"8,263"
284,Waterford,"8,208"
285,Johnstown,"8,204"
286,Erwin,"8,095"
287,Sodus,"8,028"
288,Pawling,"8,012"
289,Greenfield,"8,004"
290,Schroeppel,"7,969"
291,Port Jefferson,"7,962"
292,Boston,"7,948"
293,Oswego town,"7,914"
294,Niagara,"7,903"
295,Baldwinsville,"7,898"
296,Big Flats,"7,791"
297,Colonie village,"7,781"
298,Le Roy,"7,662"
299,Ilion,"7,646"
300,Albion,"7,639"
301,Rhinebeck,"7,596"
302,Williston Park,"7,591"
303,Geneseo village,"7,574"
304,Eden,"7,573"
305,Briarcliff Manor,"7,569"
306,Busti,"7,543"
307,Wawayanda,"7,534"
308,Royalton,"7,517"
309,Pleasantville,"7,513"
310,Deerpark,"7,509"
311,Livonia,"7,497"
312,Allegany,"7,493"
313,Great Neck Plaza,"7,482"
314,North Elba,"7,480"
315,Schaghticoke,"7,445"
316,Hudson Falls,"7,427"
317,Palmyra,"7,403"
318,Waterloo,"7,378"
319,Cedarhurst,"7,374"
320,Northport,"7,347"
321,Pelham village,"7,326"
322,New Paltz village,"7,324"
323,East Hills,"7,284"
324,Scotia and Rochester town,"7,272"
325,Nyack,"7,265"
326,Coeymans,"7,256"
327,Herkimer village,"7,234"
328,Monticello,"7,173"
329,Canton village,"7,155"
330,Skaneateles,"7,112"
331,Brockport,"7,104"
332,Tuckahoe,"7,084"
333,Pompey,"7,080"
334,Wellsville,"7,064"
335,Norwich,"7,051"
336,Pendleton,"7,035"
337,Frankfort,"7,011"
338,Hanover,"6,972"
339,Manorhaven,"6,956"
340,Avon,"6,939"
341,Clarkson,"6,904"
342,Johnstown town,"6,867"
343,Williamson,"6,860"
344,Elmira town,"6,848"
345,Walden,"6,818"
346,Lawrence village,"6,809"
347,Milo,"6,803"
348,Peru,"6,772"
349,Bayville,"6,748"
350,Cazenovia,"6,740"
351,North Syracuse,"6,739"
352,Hoosick,"6,711"
353,Bronxville,"6,656"
354,Warwick village and Irvington,"6,652"
355,Solvay,"6,645"
356,Cairo,"6,644"
357,Phelps,"6,637"
358,Larchmont,"6,630"
359,Scriba,"6,617"
360,Horseheads village,"6,606"
361,Ridgeway,"6,598"
362,Gouverneur,"6,551"
363,Mount Hope,"6,537"
364,Granby,"6,520"
365,Porter,"6,513"
366,Corinth,"6,500"
367,Fenton,"6,429"
368,Hamilton,"6,379"
369,East Rochester,"6,334"
370,Homer and Batavia town,"6,293"
371,Woodstock,"6,287"
372,Granville,"6,215"
373,Hurley,"6,178"
374,Lee,"6,171"
375,Mayfield,"6,146"
376,Wesley Hills,"6,116"
377,Wappingers Falls,"6,103"
378,Cobleskill,"6,086"
379,Marcellus,"6,066"
380,Claverack,"6,058"
381,Medina,"6,047"
382,Hilton,"6,027"
383,East Aurora,"5,998"
384,Fort Edward,"5,991"
385,Corning town,"5,983"
386,Verona,"5,974"
387,Salamanca,"5,929"
388,Westmoreland,"5,924"
389,Watertown town,"5,913"
390,Collins and Hudson,"5,894"
391,Duanesburg,"5,863"
392,Wilson,"5,847"
393,Brownville,"5,842"
394,Perry,"5,832"
395,Fort Ann,"5,812"
396,Saratoga,"5,808"
397,Windsor,"5,804"
398,Attica,"5,790"
399,Rosendale,"5,782"
400,Goshen village,"5,777"
401,Pelham Manor,"5,752"
402,Groton,"5,746"
403,Champlain,"5,745"
404,Cambria,"5,743"
405,Wilna,"5,732"
406,Lyons,"5,679"
407,Volney,"5,671"
408,Marbletown,"5,658"
409,Washingtonville,"5,657"
410,Webster village,"5,651"
411,Richland and Albion village,"5,637"
412,Kings Point,"5,619"
413,Gardiner,"5,610"
414,Riga,"5,586"
415,Bath village,"5,571"
416,Amsterdam town,"5,557"
417,Pittstown,"5,540"
418,Sidney,"5,536"
419,Beekmantown,"5,508"
420,Fairport,"5,501"
421,Kaser,"5,491"
422,Hamptonburgh,"5,489"
423,Malone village,"5,483"
424,Kirkwood,"5,481"
425,Elbridge,"5,476"
426,North Hills,"5,464"
427,New Hempstead,"5,463"
428,Williamsville,"5,423"
429,North Dansville,"5,321"
430,Warsaw,"5,316"
431,Ghent,"5,303"
432,Greene,"5,296"
433,Walton,"5,270"
434,Vienna,"5,260"
435,Mexico,"5,259"
436,Harrietstown,"5,254"
437,North Salem,"5,243"
438,Northumberland,"5,242"
439,Elmsford,"5,239"
440,Marilla,"5,189"
441,Maine,"5,168"
442,Mechanicville,"5,163"
443,Alfred,"5,157"
444,Candor,"5,149"
445,Tupper Lake,"5,147"
446,Broadalbin,"5,145"
447,Newfield,"5,126"
448,Ballston Spa,"5,111"
449,Dickinson,"5,100"
450,Pound Ridge,"5,082"
451,Ardsley,"5,079"
452,Oneonta town,"5,065"
453,Sea Cliff,"5,062"
454,Penn Yan,"5,056"
455,Conklin,"5,008"
456,Adams,"4,973"
457,Island Park,"4,928"
458,LaFayette,"4,910"
459,Shelby,"4,907"
460,Wheatland,"4,897"
461,Chittenango,"4,896"
462,Hector,"4,895"
463,Ulysses,"4,890"
464,Lowville,"4,888"
465,Saranac Lake,"4,887"
466,Colesville and Greenwich,"4,868"
467,Schuyler Falls,"4,843"
468,Waterloo village,"4,810"
469,Murray,"4,796"
470,Delhi,"4,795"
471,Flower Hill,"4,794"
472,Ticonderoga,"4,789"
473,Camden,"4,787"
474,Constantia,"4,778"
475,Clayton,"4,770"
476,Moriah,"4,716"
477,Liberty village,"4,700"
478,Greenville town,"4,689"
479,Manlius village,"4,662"
480,Minisink,"4,621"
481,Binghamton town,"4,617"
482,Little Falls,"4,605"
483,Wellsville village,"4,587"
484,Marion,"4,566"
485,Champion,"4,562"
486,Union Vale,"4,558"
487,Canastota,"4,556"
488,Menands,"4,554"
489,Westfield,"4,553"
490,Southampton village,"4,550"
491,Nassau,"4,545"
492,Hannibal,"4,525"
493,Washington,"4,522"
494,Boonville,"4,518"
495,Montebello,"4,507"
496,Greenport,"4,473"
497,Norfolk,"4,453"
498,Tioga,"4,440"
499,Mount Morris,"4,435"
500,Dansville village,"4,433"
501,Galen,"4,415"
502,Jerusalem,"4,405"
503,Waverly village,"4,373"
504,Paris,"4,332"
505,Charlton,"4,328"
506,Poestenkill,"4,322"
507,Brutus,"4,314"
508,Portland,"4,309"
509,Le Roy village,"4,300"
510,Trenton,"4,297"
511,Old Westbury,"4,289"
512,Eaton,"4,284"
513,Pembroke,"4,264"
514,Olive,"4,226"
515,Fayetteville and Springville,"4,225"
516,Lisbon,"4,221"
517,Arcade,"4,187"
518,Cobleskill village,"4,173"
519,Ellenville,"4,167"
520,Minden,"4,166"
521,Oswegatchie,"4,158"
